file,shot_id,segment_num,trace_count,valid_count,mae_ms,rmse_ms,acc_4ms,acc_8ms
Halfmile_shot20161400_seg031.npz,20161400,31,139,115,23.73913043478261,62.031408594146185,43.47826086956522,61.73913043478261
Halfmile_shot20021561_seg005.npz,20021561,5,101,98,69.0,149.27074429385289,44.89795918367347,58.16326530612245
Halfmile_shot20021519_seg024.npz,20021519,24,101,98,65.89795918367346,127.96890566198701,14.285714285714285,36.734693877551024
Halfmile_shot20221264_seg005.npz,20221264,5,201,166,14.421686746987952,44.38848217046389,69.87951807228916,80.12048192771084
Halfmile_shot20181326_seg010.npz,20181326,10,161,151,56.82119205298013,82.8300742004556,10.596026490066226,13.90728476821192
Halfmile_shot20221270_seg004.npz,20221270,4,201,191,34.24083769633508,75.70402549692976,39.26701570680628,56.02094240837696
Halfmile_shot20301240_seg009.npz,20301240,9,200,193,19.78238341968912,68.84494856563684,60.10362694300518,79.27461139896373
Halfmile_shot20281073_seg006.npz,20281073,6,200,181,16.939226519337016,46.38989221207044,55.80110497237569,75.13812154696133
Halfmile_shot20161378_seg013.npz,20161378,13,141,131,35.541984732824424,64.09106117187798,6.106870229007633,21.374045801526716
Halfmile_shot20321104_seg000.npz,20321104,0,197,159,11.421383647798741,27.02619274592007,56.60377358490566,78.61635220125787
Halfmile_shot20181318_seg013.npz,20181318,13,161,132,70.77272727272727,97.52963807494778,25.757575757575758,28.78787878787879
Halfmile_shot20241128_seg009.npz,20241128,9,200,161,18.459627329192546,53.9265661261821,39.130434782608695,60.24844720496895
Halfmile_shot20121541_seg018.npz,20121541,18,101,89,84.15730337078652,108.11001471139886,2.247191011235955,4.49438202247191
Halfmile_shot20241077_seg006.npz,20241077,6,200,193,49.87564766839378,87.70310254997364,39.37823834196891,56.476683937823836
Halfmile_shot20181331_seg010.npz,20181331,10,161,146,64.56164383561644,96.38379332874567,23.972602739726025,34.24657534246575
Halfmile_shot20181343_seg000.npz,20181343,0,157,154,66.28571428571429,105.12281005949752,28.57142857142857,37.66233766233766
Halfmile_shot20081496_seg012.npz,20081496,12,101,98,32.816326530612244,81.41704179026374,55.10204081632652,70.40816326530613
Halfmile_shot20241048_seg006.npz,20241048,6,200,179,54.83798882681564,92.61441662936589,33.5195530726257,39.66480446927375
Halfmile_shot20181338_seg021.npz,20181338,21,160,153,31.764705882352942,61.3899993984671,33.33333333333333,50.326797385620914
Halfmile_shot20021463_seg030.npz,20021463,30,100,100,67.64,132.74788133902553,4.0,7.000000000000001
Halfmile_shot20201294_seg017.npz,20201294,17,179,174,23.183908045977013,62.331520042468064,55.74712643678161,77.58620689655173
Halfmile_shot20181348_seg000.npz,20181348,0,157,151,71.44370860927152,123.86769271288314,21.192052980132452,32.450331125827816
